Judge;Sound;Rank;Innovation;Originality;Sobriety;Proximity;Fun;Premium;Simplicity;Freedom;Human;Technology;Conviviality;Complexity;Popular;Serious;International;Passion;Artisanal;Traditional;Performance;Joyful;Surprising;Exciting;Energetic;Sensual;Sad;Warm;Serious;Adequation;Why;Tempo;Pitch;Instrument
3;P_160_1;8;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;JAR;JAR;JAR;t;ne;JAR;JAR;JAR;8;quite simple, efficiency, innovation;160;1;Piano
3;A_120_3;9;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;ne;r_t;r_ne;ne;r_ne;JAR;r_ne;ne;2;traditional, without originality;120;3;Accordion
3;A_80_5;10;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;t;t;t;r_t;r_ne;ne;t;ne;2;too brief;80;5;Accordion
3;V_80_3;11;0;1;1;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;JAR;JAR;JAR;JAR;JAR;t;ne;ne;9;sound posed, lack of complexity in bass;80;3;Violon
3;V_120_5;12;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;t;r_t;r_ne;ne;r_t;ne;JAR;r_ne;1;sound of old laptop, piercing, unpleasant;120;5;Violon
4;A_80_1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;r_ne;t;r_ne;r_ne;r_ne;t;r_ne;r_t;0;accordion makes old-game, oldschool;80;1;Accordion
4;V_120_3;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;JAR;JAR;ne;JAR;r_ne;JAR;JAR;t;2;;120;3;Violon
4;P_160_5;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;JAR;JAR;ne;ne;JAR;JAR;JAR;t;6;;160;5;Piano
4;V_120_1;4;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;r_ne;t;r_ne;r_ne;r_ne;t;r_ne;t;0;;120;1;Violon
4;P_120_3;5;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;JAR;JAR;ne;ne;JAR;t;JAR;JAR;4;;120;3;Piano
4;V_160_3;6;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;JAR;JAR;JAR;JAR;ne;JAR;JAR;ne;6;;160;3;Violon
4;P_120_1;7;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;JAR;JAR;JAR;JAR;JAR;JAR;JAR;JAR;7;;120;1;Piano
