ID_juge;Produit;Classe_hedo;decription_corrig;Note;JP;JxCH
29;J;j'aime un peu;ressemble plus a cuire meme si n' pas doux agreable touche;7;29_J;29_j'aime un peu
30;A;je n'aime pas;trop fin;3;30_A;30_je n'aime pas
30;B;j'aime un peu;juste bien epais;5;30_B;30_j'aime un peu
30;C;j'aime un peu;doux toucher;5;30_C;30_j'aime un peu
30;D;je n'aime pas;trop ramasse poussiere;3;30_D;30_je n'aime pas
30;E;j'aime un peu;tres doux toucher;6;30_E;30_j'aime un peu
30;F;j'aime un peu;peu fin;5;30_F;30_j'aime un peu
30;G;je n'aime pas;trop synthetique viscose;4;30_G;30_je n'aime pas
30;H;j'aime un peu;trop plissure marques;5;30_H;30_j'aime un peu
30;I;j'aime beaucoup;raffine;6;30_I;30_j'aime beaucoup
30;J;j'aime beaucoup;imitation cuir elegant;8;30_J;30_j'aime beaucoup
31;A;je n'aime pas;reche;2;31_A;31_je n'aime pas
31;B;j'aime un peu;plutot epais mais peu dur;4;31_B;31_j'aime un peu
31;C;je n'aime pas;peu trop fin;3;31_C;31_je n'aime pas
31;D;je n'aime pas;doit vite s' abimer pelucher;1;31_D;31_je n'aime pas
31;E;j'aime beaucoup;tres doux assez epais;9;31_E;31_j'aime beaucoup
31;F;j'aime un peu;assez doux mais fin;4;31_F;31_j'aime un peu
31;G;j'aime beaucoup;bien moelleux a voir temps si tient si affaissement;10;31_G;31_j'aime beaucoup
31;H;j'aime un peu;matiere interessante mais effet collant;4;31_H;31_j'aime un peu
31;I;j'aime un peu;assez epais doit bien tenir temps;6;31_I;31_j'aime un peu
31;J;j'aime beaucoup;effet cuir a voir changement temperature fonction saison;8;31_J;31_j'aime beaucoup
32;A;je n'aime pas;toucher pas agreable;2;32_A;32_je n'aime pas
32;B;j'aime un peu;plus epais agreable toucher;7;32_B;32_j'aime un peu
32;C;j'aime un peu;agreable;7;32_C;32_j'aime un peu
32;D;je n'aime pas;pas agreable;3;32_D;32_je n'aime pas
32;E;j'aime un peu;style canape;7;32_E;32_j'aime un peu
32;F;j'aime un peu;glisse n' aime pas aspect;5;32_F;32_j'aime un peu
32;G;je n'aime pas;mousse peut ecraser facilement;2;32_G;32_je n'aime pas
32;H;je n'aime pas;dur ne glisse pas;2;32_H;32_je n'aime pas
32;I;je n'aime pas;agreable mais glisse;7;32_I;32_je n'aime pas
32;J;j'aime un peu;n' aime pas aspect;5;32_J;32_j'aime un peu
33;A;j'aime un peu;sportwear;6;33_A;33_j'aime un peu
33;B;je n'aime pas;mistake;1;33_B;33_je n'aime pas
33;C;je n'aime pas;trop reche;3;33_C;33_je n'aime pas
33;D;je n'aime pas;desagreable;0;33_D;33_je n'aime pas
33;E;je n'aime pas;desagreable;0;33_E;33_je n'aime pas
33;F;je n'aime pas;desagreable;0;33_F;33_je n'aime pas
33;G;je n'aime pas;maux tete;0;33_G;33_je n'aime pas
33;H;je n'aime pas;vertige;0;33_H;33_je n'aime pas
33;I;j'aime beaucoup;sportwear;5;33_I;33_j'aime beaucoup
